Date 	 28/12/2018 
Time 	 15:38 
Operator Name 	 mengkipun 
UUT Serial Number 	 A0000 
0,000000	1,000000
0,049068	1,000000
0,098017	1,000000
0,146730	1,000000
0,195090	1,000000
0,242980	1,000000
0,290285	1,000000
0,336890	1,000000
0,382683	1,000000
0,427555	1,000000
0,471397	1,000000
0,514103	1,000000
0,555570	1,000000
0,595699	1,000000
0,634393	1,000000
0,671559	1,000000
0,707107	1,000000
0,740951	1,000000
0,773010	1,000000
0,803208	1,000000
0,831470	1,000000
0,857729	1,000000
0,881921	1,000000
0,903989	1,000000
0,923880	1,000000
0,941544	1,000000
0,956940	1,000000
0,970031	1,000000
0,980785	1,000000
0,989177	1,000000
0,995185	1,000000
0,998795	1,000000
1,000000	1,000000
0,998795	1,000000
0,995185	1,000000
0,989177	1,000000
0,980785	1,000000
0,970031	1,000000
0,956940	1,000000
0,941544	1,000000
0,923880	1,000000
0,903989	1,000000
0,881921	1,000000
0,857729	1,000000
0,831470	1,000000
0,803208	1,000000
0,773010	1,000000
0,740951	1,000000
0,707107	1,000000
0,671559	1,000000
0,634393	1,000000
0,595699	1,000000
0,555570	1,000000
0,514103	1,000000
0,471397	1,000000
0,427555	1,000000
0,382683	1,000000
0,336890	1,000000
0,290285	1,000000
0,242980	1,000000
0,195090	1,000000
0,146730	1,000000
0,098017	1,000000
0,049068	1,000000
0,000000	-1,000000
-0,049068	-1,000000
-0,098017	-1,000000
-0,146730	-1,000000
-0,195090	-1,000000
-0,242980	-1,000000
-0,290285	-1,000000
-0,336890	-1,000000
-0,382683	-1,000000
-0,427555	-1,000000
-0,471397	-1,000000
-0,514103	-1,000000
-0,555570	-1,000000
-0,595699	-1,000000
-0,634393	-1,000000
-0,671559	-1,000000
-0,707107	-1,000000
-0,740951	-1,000000
-0,773010	-1,000000
-0,803208	-1,000000
-0,831470	-1,000000
-0,857729	-1,000000
-0,881921	-1,000000
-0,903989	-1,000000
-0,923880	-1,000000
-0,941544	-1,000000
-0,956940	-1,000000
-0,970031	-1,000000
-0,980785	-1,000000
-0,989177	-1,000000
-0,995185	-1,000000
-0,998795	-1,000000
-1,000000	-1,000000
-0,998795	-1,000000
-0,995185	-1,000000
-0,989177	-1,000000
-0,980785	-1,000000
-0,970031	-1,000000
-0,956940	-1,000000
-0,941544	-1,000000
-0,923880	-1,000000
-0,903989	-1,000000
-0,881921	-1,000000
-0,857729	-1,000000
-0,831470	-1,000000
-0,803208	-1,000000
-0,773010	-1,000000
-0,740951	-1,000000
-0,707107	-1,000000
-0,671559	-1,000000
-0,634393	-1,000000
-0,595699	-1,000000
-0,555570	-1,000000
-0,514103	-1,000000
-0,471397	-1,000000
-0,427555	-1,000000
-0,382683	-1,000000
-0,336890	-1,000000
-0,290285	-1,000000
-0,242980	-1,000000
-0,195090	-1,000000
-0,146730	-1,000000
-0,098017	-1,000000
-0,049068	-1,000000
